time_s,signal
0.000,92.5711
0.200,97.6558
0.400,88.6290
0.600,99.6176
0.800,92.2522
1.000,97.2891
1.200,89.7363
1.400,94.5660
1.600,93.5613
1.800,92.7845
2.000,91.4084
2.200,102.4451
2.400,98.0956
2.600,93.2075
2.800,95.3005
3.000,94.5640
3.200,88.9972
3.400,96.3867
3.600,101.7701
3.800,101.5657
4.000,89.4428
4.200,101.5845
4.400,102.6656
4.600,96.4963
4.800,91.0990
5.000,90.7374
5.200,92.5041
5.400,95.9257
5.600,94.2644
5.800,96.6069
6.000,96.5062
6.200,95.2165
6.400,98.9149
6.600,101.6880
6.800,91.4577
7.000,101.5313
7.200,99.3728
7.400,103.2156
7.600,90.8650
7.800,97.6755
8.000,96.8173
8.200,95.1156
8.400,95.3757
8.600,95.3666
8.800,91.3556
9.000,99.2424
9.200,102.9301
9.400,104.0263
9.600,102.8736
9.800,101.7475
10.000,96.6151
10.200,96.6865
10.400,91.3843
10.600,103.9223
10.800,99.6872
11.000,100.1052
11.200,99.0928
11.400,94.3600
11.600,96.7348
11.800,91.6848
12.000,99.8978
12.200,102.7791
12.400,99.4472
12.600,103.2868
12.800,95.5461
13.000,93.3528
13.200,92.9607
13.400,95.5372
13.600,105.1612
13.800,102.8883
14.000,92.2485
14.200,93.7149
14.400,104.3631
14.600,94.6986
14.800,93.5254
15.000,99.8192
15.200,99.6991
15.400,94.5129
15.600,101.1341
15.800,96.9074
16.000,93.6032
16.200,100.2665
16.400,105.8830
16.600,101.2989
16.800,104.6045
17.000,101.1158
17.200,104.3042
17.400,95.7372
17.600,103.0014
17.800,96.5220
18.000,97.7993
18.200,100.1054
18.400,103.7222
18.600,93.7461
18.800,98.1436
19.000,93.7877
19.200,101.5895
19.400,93.6008
19.600,99.3159
19.800,95.2713
20.000,97.7075
20.200,105.8010
20.400,105.1237
20.600,106.0828
20.800,105.1920
21.000,98.7582
21.200,95.5911
21.400,105.6510
21.600,95.9597
21.800,100.1623
22.000,98.5803
22.200,105.1929
22.400,105.7976
22.600,94.1932
22.800,102.6136
23.000,104.2135
23.200,102.4306
23.400,106.7084
23.600,96.3655
23.800,104.7152
24.000,106.8050
24.200,103.2478
24.400,103.7932
24.600,103.7103
24.800,95.3085
25.000,98.2010
25.200,101.3753
25.400,100.1291
25.600,96.1439
25.800,106.9811
26.000,99.4254
26.200,99.7189
26.400,98.5763
26.600,94.5467
26.800,98.9521
27.000,105.0266
27.200,97.2716
27.400,105.1188
27.600,101.0311
27.800,95.0598
28.000,107.4457
28.200,103.4336
28.400,97.1615
28.600,100.7181
28.800,102.0433
29.000,97.3771
29.200,98.5715
29.400,107.5906
29.600,105.6648
29.800,107.3434
30.000,97.9453
30.200,95.2123
30.400,95.4591
30.600,97.1621
30.800,98.5381
31.000,105.3729
31.200,104.7030
31.400,96.9376
31.600,97.1485
31.800,95.5723
32.000,102.2844
32.200,107.6440
32.400,106.9173
32.600,107.2162
32.800,106.8085
33.000,108.8198
33.200,99.4214
33.400,105.6458
33.600,101.5461
33.800,102.2063
34.000,99.0305
34.200,98.5952
34.400,103.9423
34.600,99.6721
34.800,105.9975
35.000,107.1704
35.200,102.9042
35.400,107.2699
35.600,102.2489
35.800,98.9431
36.000,98.5870
36.200,104.7666
36.400,103.3456
36.600,108.2542
36.800,104.8972
37.000,107.4925
37.200,97.5829
37.400,100.3194
37.600,104.4302
37.800,106.8526
38.000,108.6970
38.200,105.2315
38.400,103.0637
38.600,109.3430
38.800,104.1478
39.000,101.4530
39.200,98.9229
39.400,105.4181
39.600,104.4478
39.800,97.8929
40.000,105.9382
40.200,97.0501
40.400,96.5029
40.600,97.1603
40.800,109.7134
41.000,106.3263
41.200,99.4368
41.400,102.0910
41.600,102.9226
41.800,104.9271
42.000,104.8666
42.200,107.1378
42.400,98.9559
42.600,101.8279
42.800,107.0972
43.000,103.7208
43.200,110.0316
43.400,98.0708
43.600,106.2062
43.800,104.1302
44.000,107.4937
44.200,96.9471
44.400,96.4842
44.600,108.0752
44.800,97.5144
45.000,109.4361
45.200,98.2030
45.400,107.4737
45.600,98.9184
45.800,98.2439
46.000,98.1774
46.200,102.5754
46.400,107.3506
46.600,101.2847
46.800,104.0918
47.000,106.0134
47.200,105.5029
47.400,106.9503
47.600,101.0581
47.800,100.8764
48.000,98.6214
48.200,97.0096
48.400,108.3759
48.600,104.3968
48.800,102.0105
49.000,102.4827
49.200,103.9615
49.400,100.3475
49.600,108.7553
49.800,107.3343
50.000,105.4168
50.200,96.7415
50.400,97.3780
50.600,100.3280
50.800,98.2044
51.000,106.9279
51.200,100.6497
51.400,102.8872
51.600,106.8995
51.800,107.6782
52.000,108.2747
52.200,102.3055
52.400,106.9871
52.600,101.3567
52.800,97.6667
53.000,103.1504
53.200,108.1717
