time_s,signal
0.000,101.2685
0.200,91.3285
0.400,100.4349
0.600,88.3254
0.800,88.2854
1.000,98.7060
1.200,95.9009
1.400,96.4943
1.600,88.4692
1.800,98.5466
2.000,98.1379
2.200,91.9192
2.400,96.3775
2.600,93.1205
2.800,96.2913
3.000,95.5821
3.200,95.3513
3.400,101.1663
3.600,93.3061
3.800,98.0553
4.000,95.8894
4.200,92.8213
4.400,90.8243
4.600,93.7223
4.800,91.8408
5.000,95.1890
5.200,101.3841
5.400,98.9354
5.600,94.7602
5.800,103.0149
6.000,98.0162
6.200,91.3269
6.400,102.2680
6.600,90.4389
6.800,94.8299
7.000,90.9934
7.200,97.7614
7.400,101.2913
7.600,93.6835
7.800,103.7725
8.000,98.3173
8.200,90.9037
8.400,97.5322
8.600,98.3291
8.800,103.1337
9.000,91.9015
9.200,100.5481
9.400,94.2718
9.600,92.3510
9.800,103.9485
10.000,94.6040
10.200,92.0169
10.400,103.5985
10.600,90.9100
10.800,93.2182
11.000,96.6193
11.200,95.1089
11.400,94.4062
11.600,93.5501
11.800,99.2891
12.000,91.7450
12.200,98.2217
12.400,96.5437
12.600,93.8124
12.800,91.7823
13.000,93.5422
13.200,98.8104
13.400,96.5949
13.600,97.7914
13.800,98.4850
14.000,99.3464
14.200,100.5477
14.400,92.4633
14.600,98.8944
14.800,97.6775
15.000,92.5336
15.200,91.7222
15.400,104.8684
15.600,105.5256
15.800,99.5921
16.000,102.9689
16.200,100.9876
16.400,99.5901
16.600,92.6635
16.800,99.7994
17.000,105.7132
17.200,98.5387
17.400,98.0288
17.600,100.0405
17.800,96.9240
18.000,102.8007
18.200,100.1855
18.400,101.4495
18.600,96.0609
18.800,101.2566
19.000,93.3781
19.200,94.9178
19.400,104.8474
19.600,100.4186
19.800,96.5012
20.000,98.5253
20.200,96.0553
20.400,93.1941
20.600,103.5943
20.800,103.2881
21.000,95.2835
21.200,97.8279
21.400,99.6473
21.600,104.9425
21.800,100.2201
22.000,107.1154
22.200,106.9358
22.400,105.6107
22.600,105.3546
22.800,99.4807
23.000,104.6035
23.200,98.6911
23.400,97.6110
23.600,99.0146
23.800,101.7120
24.000,95.8160
24.200,101.8692
24.400,107.0645
24.600,101.4763
24.800,104.2228
25.000,106.8435
25.200,95.4711
25.400,103.9040
25.600,106.3797
25.800,97.2875
26.000,101.0457
26.200,101.5580
26.400,97.2122
26.600,99.9945
26.800,100.3804
27.000,96.6609
27.200,97.7720
27.400,98.5604
27.600,103.5874
27.800,101.2597
28.000,95.6937
28.200,95.3803
28.400,97.0589
28.600,99.6704
28.800,104.2819
29.000,98.8451
29.200,98.8424
29.400,95.9200
29.600,101.5732
29.800,97.2088
30.000,103.7250
30.200,106.4057
30.400,104.2163
30.600,98.0943
30.800,104.6209
31.000,101.4892
31.200,102.5147
31.400,106.1066
31.600,100.3544
31.800,99.2460
32.000,104.4745
32.200,96.5217
32.400,101.4341
32.600,100.0870
32.800,106.2024
33.000,102.5215
33.200,106.9104
33.400,100.4727
33.600,103.4970
33.800,102.9412
34.000,98.9114
34.200,105.4368
34.400,108.9769
34.600,100.9999
34.800,104.9495
35.000,105.1406
35.200,100.5901
35.400,101.9822
35.600,101.5939
35.800,96.1739
36.000,96.8474
36.200,107.3393
36.400,96.6018
36.600,105.8240
36.800,95.6248
37.000,106.1793
37.200,100.1022
37.400,97.0293
37.600,106.8779
37.800,104.6150
38.000,104.9266
38.200,97.2378
38.400,107.1115
38.600,96.9372
38.800,101.6794
39.000,99.8882
39.200,96.9495
39.400,96.0833
39.600,101.6428
39.800,102.7334
40.000,96.6484
40.200,106.3702
40.400,102.1090
40.600,104.7236
40.800,99.8968
41.000,106.9583
41.200,100.2343
41.400,96.6699
41.600,107.7468
41.800,104.0177
42.000,97.0080
42.200,98.4048
42.400,102.0195
42.600,103.0642
42.800,106.4306
43.000,102.6604
43.200,101.0292
43.400,108.4335
43.600,104.4947
43.800,97.3814
44.000,107.9694
44.200,106.3631
44.400,108.0621
44.600,103.6929
44.800,101.8046
45.000,103.6508
45.200,101.2318
45.400,100.2413
45.600,98.0120
45.800,101.3570
46.000,104.2909
46.200,100.1264
46.400,100.0166
46.600,96.5220
46.800,109.8443
47.000,104.1447
47.200,101.6631
47.400,96.3649
47.600,104.2156
47.800,105.5618
48.000,108.5687
48.200,104.9338
48.400,101.7126
48.600,101.1327
48.800,107.7008
49.000,101.6759
49.200,108.8527
49.400,108.5886
49.600,100.0227
49.800,104.8967
50.000,107.1403
50.200,110.3105
50.400,104.5519
50.600,108.5759
50.800,104.4913
51.000,98.4054
51.200,101.6734
51.400,104.5101
51.600,98.8972
51.800,105.9067
52.000,97.0539
52.200,97.2501
52.400,109.4239
52.600,98.3160
52.800,98.9977
53.000,106.8019
53.200,97.1374
53.400,107.2060
53.600,99.5914
53.800,101.5603
54.000,106.0517
54.200,109.1011
54.400,97.4785
54.600,101.4436
54.800,103.6919
55.000,108.3585
55.200,105.6084
55.400,106.6977
55.600,110.3655
55.800,102.2637
56.000,104.8045
56.200,99.3400
56.400,103.7373
56.600,100.0632
56.800,103.4942
57.000,101.7095
57.200,98.8005
57.400,105.1505
57.600,103.4440
57.800,98.0940
58.000,106.8380
58.200,99.1261
58.400,96.8457
58.600,104.9017
58.800,100.4674
59.000,97.9481
59.200,97.5942
59.400,104.3466
59.600,101.3645
59.800,101.8944
60.000,101.1040
60.200,106.1164
60.400,104.7573
60.600,100.5538
60.800,108.5054
61.000,100.9916
61.200,104.2863
61.400,101.5648
61.600,102.5661
61.800,107.8842
62.000,106.3227
62.200,99.3220
62.400,104.1804
62.600,99.2656
62.800,96.3402
63.000,99.3671
63.200,105.7715
63.400,97.4514
63.600,105.4327
63.800,107.6850
64.000,101.4486
64.200,107.7126
64.400,108.5726
64.600,109.6227
64.800,101.2642
65.000,103.6821
65.200,105.7033
65.400,108.6495
65.600,104.4149
65.800,102.0241
66.000,96.2582
66.200,102.6785
66.400,107.7290
66.600,100.8363
66.800,109.2032
67.000,103.1671
67.200,103.2847
67.400,107.7536
67.600,104.1924
67.800,95.7152
68.000,106.5036
68.200,109.2214
68.400,108.9342
68.600,96.3809
68.800,105.5621
69.000,101.9071
69.200,107.3594
69.400,97.4310
69.600,106.4651
69.800,100.7201
70.000,106.6864
70.200,105.7465
70.400,101.6252
70.600,97.4070
70.800,100.9756
71.000,102.6003
71.200,101.2919
71.400,101.1925
71.600,100.2690
71.800,107.0278
72.000,104.6743
72.200,102.4329
72.400,103.9069
72.600,108.5070
72.800,101.1003
73.000,97.7535
73.200,96.1157
73.400,100.1685
73.600,97.0569
73.800,108.6357
74.000,103.4620
74.200,97.2535
74.400,98.4559
74.600,100.9252
74.800,105.2648
75.000,99.0380
75.200,106.9665
75.400,108.2278
75.600,95.5607
75.800,95.9437
76.000,94.7612
76.200,95.6640
76.400,94.7154
76.600,101.0523
76.800,107.5169
77.000,97.9481
77.200,108.2760
77.400,104.7425
77.600,103.0162
77.800,105.2635
78.000,104.1569
78.200,106.6703
78.400,102.1914
78.600,97.9012
78.800,96.7530
79.000,102.8083
79.200,98.9560
79.400,102.1310
79.600,94.0754
79.800,104.7652
80.000,102.6672
80.200,101.2731
80.400,101.5014
80.600,104.1026
80.800,102.5622
81.000,101.4406
81.200,99.2337
81.400,93.8698
81.600,97.0143
81.800,94.9202
82.000,96.0632
82.200,95.0727
82.400,95.9495
82.600,101.6602
82.800,99.5267
83.000,97.2983
83.200,106.2700
83.400,94.8349
83.600,98.0564
83.800,106.2112
84.000,99.6274
84.200,95.9539
84.400,98.2121
84.600,102.1423
84.800,105.3881
85.000,98.4850
85.200,95.5923
85.400,95.4886
85.600,99.1373
85.800,98.4593
