time_s,signal
0.000,99.3358
0.200,97.4012
0.400,94.7002
0.600,98.6126
0.800,95.3891
1.000,95.2800
1.200,99.1977
1.400,96.0658
1.600,102.0452
1.800,100.3773
2.000,96.6425
2.200,91.1472
2.400,88.9815
2.600,94.6954
2.800,92.9600
3.000,95.3559
3.200,100.1615
3.400,90.7709
3.600,93.6314
3.800,100.3910
4.000,89.7901
4.200,91.6576
4.400,102.7890
4.600,97.4499
4.800,101.0093
5.000,89.5330
5.200,99.4108
5.400,99.8221
5.600,102.4278
5.800,103.1465
6.000,91.4585
6.200,93.7468
6.400,103.0785
6.600,89.8276
6.800,100.3027
7.000,98.0018
7.200,91.8973
7.400,103.2745
7.600,99.2794
7.800,96.1954
8.000,93.3173
8.200,91.8397
8.400,101.7197
8.600,99.2263
8.800,102.0719
9.000,93.5328
9.200,93.2996
9.400,94.8839
9.600,97.8005
9.800,103.4593
10.000,95.0509
10.200,93.0546
10.400,91.5509
10.600,96.9127
10.800,100.8780
11.000,100.5050
11.200,103.7720
11.400,92.8403
11.600,98.9245
11.800,100.7103
12.000,102.8900
12.200,103.9011
12.400,95.6334
12.600,103.6956
12.800,105.0631
13.000,102.8335
13.200,92.8438
13.400,96.3598
13.600,93.2069
13.800,96.3524
14.000,97.7691
14.200,105.2515
14.400,102.8855
14.600,93.2953
14.800,95.1992
15.000,97.2637
15.200,98.1615
15.400,93.2338
15.600,96.7719
15.800,105.2177
16.000,103.9988
16.200,99.2718
16.400,105.6552
16.600,100.8047
16.800,99.3116
17.000,92.2471
17.200,104.4866
17.400,92.8529
17.600,102.2541
17.800,103.0569
18.000,93.9115
18.200,92.3899
18.400,98.8434
18.600,103.3243
18.800,100.5648
19.000,93.4691
19.200,99.5115
19.400,96.1259
19.600,104.8402
19.800,96.2279
20.000,93.6769
20.200,105.9988
20.400,94.2896
20.600,104.1473
20.800,95.9334
21.000,106.9446
21.200,101.9975
21.400,100.9815
21.600,102.9463
21.800,98.6517
22.000,106.7742
22.200,100.3263
22.400,105.6523
22.600,96.6520
22.800,95.5102
23.000,98.2946
23.200,94.8554
23.400,99.6327
23.600,101.5370
23.800,99.2683
24.000,99.8136
24.200,100.6200
24.400,106.3375
24.600,94.1950
24.800,106.9085
25.000,100.2563
25.200,101.4498
25.400,98.3985
25.600,100.9940
25.800,97.8861
26.000,106.9079
26.200,107.3715
26.400,97.5154
26.600,95.6728
26.800,100.0630
27.000,98.5199
27.200,106.9942
27.400,98.4623
27.600,106.1305
27.800,98.3264
28.000,102.9719
28.200,95.6144
28.400,103.3039
28.600,99.9032
28.800,96.0067
29.000,98.5189
29.200,98.7822
29.400,95.4024
29.600,97.8158
29.800,101.0165
30.000,105.5518
30.200,99.2516
30.400,99.1592
30.600,99.4427
30.800,103.2692
31.000,97.6856
31.200,104.5566
31.400,102.5135
31.600,98.0864
31.800,101.5407
32.000,102.4323
32.200,106.7711
32.400,105.7637
32.600,104.7824
32.800,104.7815
33.000,100.8100
33.200,95.9129
33.400,104.7334
33.600,99.9524
33.800,109.0001
34.000,106.7156
34.200,105.4720
34.400,101.6359
34.600,106.9271
34.800,98.9602
35.000,99.3694
35.200,102.6599
35.400,106.2683
35.600,101.7394
35.800,109.2337
36.000,95.6784
36.200,108.3231
36.400,99.6560
36.600,97.0307
36.800,102.3520
37.000,104.9156
37.200,108.8757
37.400,108.6494
37.600,100.1117
37.800,98.8900
38.000,108.8756
38.200,103.6808
38.400,103.1008
38.600,105.9162
38.800,102.2279
39.000,98.6804
39.200,97.3881
39.400,102.8244
39.600,102.2661
39.800,107.8799
40.000,108.0462
40.200,101.1880
40.400,103.9743
40.600,96.8206
40.800,105.1894
41.000,108.3734
41.200,96.9460
