time_s,signal
0.000,96.4366
0.200,99.5103
0.400,100.0983
0.600,93.0433
0.800,92.0447
1.000,90.1411
1.200,97.1428
1.400,95.4230
1.600,94.4093
1.800,89.1232
2.000,94.3993
2.200,89.9891
2.400,98.8876
2.600,90.0577
2.800,101.9631
3.000,95.0165
3.200,93.3768
3.400,89.1776
3.600,101.1194
3.800,96.8944
4.000,101.6413
4.200,89.9120
4.400,92.7361
4.600,103.0412
4.800,100.7620
5.000,102.0492
5.200,96.4508
5.400,94.1523
5.600,92.9292
5.800,96.3438
6.000,95.6218
6.200,90.3767
6.400,97.2941
6.600,102.9106
6.800,94.5120
7.000,101.5145
7.200,97.1011
7.400,99.2492
7.600,93.6732
7.800,98.8297
8.000,92.8173
8.200,93.2436
8.400,101.0008
8.600,93.5722
8.800,93.4792
9.000,95.9798
9.200,103.4270
9.400,102.8021
9.600,91.9747
9.800,102.7257
10.000,95.7213
10.200,94.6111
10.400,101.4795
10.600,91.9168
10.800,98.3677
11.000,92.3337
11.200,95.7666
11.400,97.4916
11.600,99.9861
11.800,102.8422
12.000,91.6076
12.200,91.4203
12.400,101.2679
12.600,97.5204
12.800,96.9844
13.000,102.7703
13.200,104.8939
13.400,96.0073
13.600,100.3302
13.800,93.1535
14.000,95.4031
14.200,98.3073
14.400,97.5187
14.600,91.8967
14.800,98.4819
15.000,104.3589
15.200,100.8205
15.400,103.7820
15.600,104.6414
15.800,99.6562
16.000,105.5435
16.200,103.6981
16.400,93.7528
16.600,99.0165
16.800,105.5800
17.000,100.0480
17.200,92.4084
17.400,106.0890
17.600,98.5744
17.800,98.2562
18.000,101.5777
18.200,101.6965
18.400,94.9344
18.600,93.2194
18.800,99.5271
19.000,93.6056
19.200,106.4021
19.400,97.0437
19.600,104.4727
19.800,95.8179
20.000,93.4043
20.200,99.9140
20.400,102.9328
20.600,104.9768
20.800,105.9014
21.000,103.4361
21.200,101.2519
21.400,102.9827
21.600,99.9520
21.800,103.2991
22.000,99.2625
22.200,104.4120
22.400,105.7145
22.600,97.5983
22.800,96.5545
23.000,102.8312
23.200,96.1019
23.400,102.6651
23.600,105.3206
23.800,95.6027
24.000,98.8099
24.200,105.7462
24.400,105.2471
24.600,104.2730
24.800,103.9371
25.000,97.3755
25.200,103.4179
25.400,97.1402
25.600,106.9154
25.800,105.7839
26.000,101.7011
26.200,102.0918
26.400,97.9701
26.600,103.1902
26.800,99.5869
27.000,101.3085
27.200,106.8273
27.400,105.3151
27.600,95.9450
27.800,100.9264
28.000,106.8892
28.200,102.9655
28.400,98.6715
28.600,100.2524
28.800,104.5938
29.000,98.0295
29.200,98.6919
29.400,94.6259
29.600,99.1797
29.800,99.7280
30.000,108.2919
30.200,95.5205
30.400,105.5734
30.600,108.4653
30.800,101.2416
31.000,98.9802
31.200,100.6193
31.400,104.1238
31.600,101.6845
31.800,104.9828
32.000,106.3689
32.200,101.1452
32.400,98.2581
32.600,97.8255
32.800,95.6502
33.000,98.2428
33.200,107.4165
33.400,97.1244
33.600,108.6354
33.800,104.0884
34.000,97.4220
34.200,98.5248
34.400,104.6244
34.600,101.8178
34.800,103.9762
35.000,104.7127
35.200,98.7646
35.400,98.6976
35.600,101.9578
35.800,100.8235
36.000,100.9250
36.200,102.7989
36.400,97.2372
36.600,97.8408
36.800,105.4428
37.000,96.0200
37.200,108.0359
37.400,105.0794
37.600,103.9625
37.800,104.3026
38.000,100.7990
38.200,106.3454
38.400,97.0849
38.600,105.3848
38.800,103.0508
39.000,103.8687
39.200,98.0458
39.400,105.9360
39.600,103.2011
39.800,101.5998
40.000,97.1428
40.200,107.4146
40.400,106.7723
40.600,98.9662
40.800,99.1283
41.000,103.4961
41.200,106.0135
41.400,99.6816
41.600,97.2889
41.800,101.4118
42.000,101.3739
42.200,101.7009
42.400,103.4286
42.600,107.0441
42.800,106.8010
43.000,107.9162
43.200,104.4750
43.400,101.1209
43.600,102.3344
43.800,102.6863
44.000,99.9274
44.200,107.3542
44.400,96.9633
44.600,96.7942
44.800,97.8656
45.000,106.8649
45.200,104.2158
45.400,108.9259
45.600,104.7378
45.800,102.7386
46.000,102.4501
46.200,109.2647
46.400,105.6466
46.600,110.0568
46.800,97.3151
47.000,108.2940
47.200,105.3519
47.400,102.2457
47.600,99.3503
47.800,101.4033
48.000,107.7091
48.200,102.0870
48.400,99.1922
48.600,101.3905
48.800,96.7617
49.000,105.2353
49.200,98.3576
49.400,102.4547
49.600,100.2075
49.800,101.5843
50.000,103.0717
50.200,102.7722
50.400,97.4553
50.600,99.3271
50.800,104.1097
51.000,106.2512
51.200,97.9936
51.400,102.0529
51.600,97.1207
51.800,97.5575
52.000,103.2876
52.200,104.7253
52.400,103.4034
52.600,100.0053
52.800,102.9249
53.000,107.8844
53.200,98.6009
53.400,107.4074
53.600,105.2272
53.800,96.9178
54.000,110.2846
54.200,104.4777
54.400,108.0484
54.600,104.7439
54.800,104.8959
55.000,99.8807
