scenario_id,overall_coefficient_W_m2_K,cold_flow_factor,area_m2,ua_W_K,hot_inlet_temperature_K,cold_inlet_temperature_K,hot_outlet_temperature_K,cold_outlet_temperature_K,hot_inlet_pressure_Pa,cold_inlet_pressure_Pa,clean_to_contaminated_deltaP_Pa,hot_mass_flow_kg_s,cold_mass_flow_kg_s,heat_duty_kW,lmtd_K,q_hot_kW,q_cold_kW,energy_balance_residual_kW,energy_balance_relative_percent,source_sha256,dwsim_version
S001,800,0.8,13,10400,406.649349770717,293.15,388.310481153736,333.942825785914,300000,350000,50000,8.951122,4,867.678324103981,83.4306080869213,867.678324107841,867.678327261456,3.1536143296762e-06,3.63454316689058e-07,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S002,800,1,13,10400,406.649349770717,293.15,387.579803780435,327.125331545715,300000,350000,50000,8.951122,5,902.34273469249,86.7637244896625,902.342734687745,902.342722401429,1.22863158367181e-05,1.3616019111203e-06,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S003,800,1.2,13,10400,406.649349770717,293.15,387.072470889366,322.245676571638,300000,350000,50000,8.951122,6,926.415761191673,89.0784385761224,926.415761214647,926.41576119176,2.28870931096026e-08,2.47049910721267e-09,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S004,1000,0.8,13,13000,406.649349770717,293.15,385.181864101832,340.881934325179,300000,350000,50000,8.951122,4,1016.15372548766,78.1656711913582,1016.15372552172,1016.15372623265,7.10929725755705e-07,6.99628124811533e-08,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S005,1000,1,13,13000,406.649349770717,293.15,384.156247979129,333.204676360266,300000,350000,50000,8.951122,5,1064.85676304172,81.9120586955167,1064.85676304039,1064.85675182666,1.12137252017419e-05,1.05307358228808e-06,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S006,1000,1.2,13,13000,406.649349770717,293.15,383.439493861411,327.627098453768,300000,350000,50000,8.951122,6,1098.9015822747,84.530890944208,1098.90158203155,1098.90157467629,7.35525600248366e-06,6.69328004196821e-07,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S007,1200,0.8,13,15600,406.649349770717,293.15,382.438596047749,346.972492146815,300000,350000,50000,8.951122,4,1146.46220098959,73.4911667301018,1146.46136326978,1146.46220002121,0.00083675143923756,7.29855502061818e-05,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S008,1200,1,13,15600,406.649349770717,293.15,381.102825631057,338.629256695888,300000,350000,50000,8.951122,5,1209.93832828503,77.5601492490401,1209.93832822478,1209.93833028084,2.05605897463101e-06,1.69930890271136e-07,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S009,1200,1.2,13,15600,406.649349770717,293.15,380.1640443288,332.479590778287,300000,350000,50000,8.951122,6,1254.57023871411,80.4211691483404,1254.57023868152,1254.57024785041,9.16888961910445e-06,7.30839079622637e-07,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S010,1500,0.8,13,19500,406.649349770717,293.15,378.914053231201,354.808243984374,300000,350000,50000,8.951122,4,1314.01666119104,67.3854698046685,1314.01666122456,1314.01667047557,9.25101517168514e-06,7.04025710792676e-07,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S011,1500,1,13,19500,406.649349770717,293.15,377.100230467183,345.747131900195,300000,350000,50000,8.951122,5,1400.31289997597,71.8109179474859,1400.31289996508,1400.312899993,2.79185314866481e-08,1.9937352206829e-09,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
S012,1500,1.2,13,19500,406.649349770717,293.15,375.815589698019,338.926180054831,300000,350000,50000,8.951122,6,1461.45513311345,74.946417082741,1461.45513323136,1461.45513557624,2.34488106798381e-06,1.60448378659287e-07,e62493025e33114466e1af735c5916eb73eaa92d36ea6d2419e456875d0a181e,DWSIM version 9.0.5.0 (28-10-2025 10:42:38)
